TravelCode,UserID,Departure,Arrival,Hotel,Rating,BedroomType,PricePerNight,Adults,Children,TotalBedrooms,TotalPricePerNight,Amenities,StayingDays,TotalCost,CheckOut,CheckIn
66913,650,Imphal,Amritsar,"Taj Swarna, Amritsar",5,Suite,13533,4,3,4,54132,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad', 'Limousine Service']",1,54132,25-09-2020,24-09-2020
66914,650,Pune,Hisar,Hotel Crown,2,Executive,2768,3,1,2,5536,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",2,11072,03-10-2020,01-10-2020
66924,650,Bhubaneswar,Vijayawada,K N Gupta Residency,2,Executive,2987,4,2,3,8961,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",3,26883,13-12-2020,10-12-2020
66927,650,Chennai,Ahmedabad,Novotel Ahmedabad,5,Suite,12238,2,0,1,12238,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service', 'Helipad']",1,12238,01-01-2021,31-12-2020
66930,650,Thiruvananthapuram,Tirupati,Hotel Bliss,4,Executive,6536,4,0,2,13072,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",6,78432,27-01-2021,21-01-2021
66932,650,Bilaspur,Bengaluru,Taj Bangalore,5,Executive,10586,2,1,2,21172,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service']",3,63516,07-02-2021,04-02-2021
66942,650,Ahmedabad,Bhubaneswar,Hotel Hindusthan International Bhubaneswar,4,Deluxe,6226,4,2,3,18678,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",1,18678,16-04-2021,15-04-2021
66945,650,Shimla,Vadodara,Sayaji Hotel Vadodara,4,Suite,10491,2,1,2,20982,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",5,104910,11-05-2021,06-05-2021
66953,650,Surat,Coimbatore,Le M�ridien Coimbatore,5,Deluxe,10167,3,3,3,30501,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",7,213507,08-07-2021,01-07-2021
66956,650,Ahmedabad,Chandigarh,The Lalit Chandigarh,5,Suite,16008,2,3,2,32016,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,64032,25-07-2021,23-07-2021
66958,650,Kullu-Manali,Patna,Hotel Maurya,5,Deluxe,11526,1,0,1,11526,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",1,11526,06-08-2021,05-08-2021
66959,650,Varanasi,Ayodhya,Hotel Ramayana,3,Deluxe,5457,3,0,2,10914,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",1,10914,13-08-2021,12-08-2021
66962,650,Jamshedpur,Hisar,Hotel Imperial Blue,3,Deluxe,4908,3,2,3,14724,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",4,58896,06-09-2021,02-09-2021
66963,650,Mumbai,Bhopal,Hotel Sonali Regency,3,Suite,7362,1,1,1,7362,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",6,44172,15-09-2021,09-09-2021
66964,650,Ayodhya,Puducherry,Anandha Inn Convention Centre and Suites,3,Deluxe,5320,3,2,3,15960,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,111720,23-09-2021,16-09-2021
66967,650,Amritsar,Surat,Hotel Central Excellency,3,Executive,5559,2,2,2,11118,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",6,66708,13-10-2021,07-10-2021
66969,650,Patna,Indore,Hotel Amar Vilas,3,Deluxe,3307,1,0,1,3307,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",2,6614,23-10-2021,21-10-2021
66971,650,Chandigarh,Shillong,Hotel Monsoon,2,Deluxe,3159,4,1,3,9477,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",3,28431,07-11-2021,04-11-2021
66972,650,Pune,Prayagraj,Hotel Ravisha Continental,3,Suite,5631,3,2,3,16893,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",6,101358,17-11-2021,11-11-2021
66973,650,Shimla,Gwalior,Radisson Hotel Gwalior,5,Suite,12981,1,0,1,12981,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",6,77886,24-11-2021,18-11-2021
66975,650,Visakhapatnam,Jaipur,Clarion Bella Casa By Choice Hotels,4,Deluxe,5794,1,1,1,5794,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",1,5794,03-12-2021,02-12-2021
66976,650,Ayodhya,Itanagar,Hotel Yumi Ragi,3,Suite,5746,3,0,2,11492,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,45968,13-12-2021,09-12-2021
66979,650,Raigarh,Surat,Hotel Sifat International,3,Suite,6285,1,0,1,6285,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",1,6285,31-12-2021,30-12-2021
66980,650,Chennai,Delhi NCR,JW Marriott Hotel New Delhi Aerocity,5,Deluxe,10155,3,2,3,30465,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",4,121860,10-01-2022,06-01-2022
66985,650,Gwalior,Kullu-Manali,Hotel Honeymoon Inn Manali,3,Suite,5938,2,3,2,11876,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",3,35628,13-03-2022,10-03-2022
66986,650,Jamshedpur,Mysuru,Hotel Roopa,3,Executive,4944,4,0,2,9888,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar']",6,59328,23-02-2022,17-02-2022
66987,650,Coimbatore,Kota,Hotel Bharat,3,Executive,3920,3,3,3,11760,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,35280,27-02-2022,24-02-2022
66988,650,Shimla,Itanagar,Hotel Todo Itanagar,3,Executive,5456,2,2,2,10912,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",7,76384,10-03-2022,03-03-2022
66990,650,Raigarh,Mopa,Hotel Green Valley,2,Executive,2679,2,2,2,5358,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",5,26790,22-03-2022,17-03-2022
66992,650,Ranchi,Hyderabad,Trident Hyderabad,5,Deluxe,9877,3,3,3,29631,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler']",7,207417,11-01-2022,04-01-2022
66998,650,Vadodara,Ranchi,Hotel Maple Wood,3,Executive,6144,4,3,4,24576,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",7,172032,19-05-2022,12-05-2022
66999,650,Hisar,Ludhiana,Park Plaza Ludhiana,4,Deluxe,5558,2,3,2,11116,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",1,11116,20-05-2022,19-05-2022
67000,650,Bhopal,Itanagar,Hotel High East,3,Executive,5569,2,2,2,11138,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",3,33414,29-05-2022,26-05-2022
67004,650,Chandigarh,Visakhapatnam,"Keys Select by Lemon Tree Hotels, Visakhapatnam",3,Suite,5667,2,0,1,5667,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,28335,28-06-2022,23-06-2022
67005,650,Indore,Udaipur,Amrit Mahal,3,Suite,5346,3,0,2,10692,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",4,42768,04-07-2022,30-06-2022
67006,650,Bilaspur,Delhi NCR,JW Marriott Hotel New Delhi Aerocity,5,Suite,13848,2,3,2,27696,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",3,83088,10-07-2022,07-07-2022
67008,650,Mopa,Indore,Marriott Indore,5,Suite,15250,4,3,4,61000,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",4,244000,25-07-2022,21-07-2022
67009,650,Guwahati,Mumbai,The St. Regis Mumbai,5,Executive,13328,3,0,2,26656,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",7,186592,04-08-2022,28-07-2022
67012,650,Jamshedpur,Itanagar,Hotel Blue Pine,2,Deluxe,2633,4,1,3,7899,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",6,47394,24-08-2022,18-08-2022
67015,650,Bilaspur,Shimla,Honeymoon Inn Shimla,3,Executive,5803,3,1,2,11606,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,34818,11-09-2022,08-09-2022
67017,650,Varanasi,Vijayawada,"Lemon Tree Premier, Vijayawada",4,Executive,6665,3,1,2,13330,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,53320,26-09-2022,22-09-2022
67018,650,Hisar,Ranchi,Capitol Hill,4,Suite,9338,2,2,2,18676,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",4,74704,03-10-2022,29-09-2022
67024,650,Shimla,Thiruvananthapuram,The Leela Kovalam,5,Executive,12572,2,0,1,12572,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",6,75432,16-12-2022,10-12-2022
67026,650,Raigarh,Pune,St Laurn Hotel Pune,4,Suite,7736,2,3,2,15472,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",5,77360,29-11-2022,24-11-2022
67028,650,Jaipur,Mysuru,Radisson Blu Plaza Hotel Mysore,5,Executive,10730,1,0,1,10730,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,21460,10-12-2022,08-12-2022
67029,650,Vadodara,Mysuru,Fortune JP Palace,4,Executive,8317,3,2,3,24951,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,74853,18-12-2022,15-12-2022
67033,650,Ludhiana,Diu,Hotel Palms,3,Suite,7014,3,2,3,21042,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",6,126252,18-01-2023,12-01-2023
67034,650,Gwalior,Visakhapatnam,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,0,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",3,30378,22-01-2023,19-01-2023
67038,650,Shillong,Raigarh,Hotel Trinity Grand,3,Suite,6724,2,3,2,13448,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",1,13448,17-02-2023,16-02-2023
67044,650,Jamshedpur,Visakhapatnam,Best Western Ramachandra,3,Deluxe,5035,3,1,2,10070,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",2,20140,01-04-2023,30-03-2023
67046,650,Gwalior,Kolkata,Novotel Kolkata Hotel and Residences,5,Suite,15874,1,0,1,15874,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,31748,15-04-2023,13-04-2023
67049,650,Navi Mumbai,Ludhiana,Hotel Onn,3,Executive,4226,2,0,1,4226,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",4,16904,08-05-2023,04-05-2023
67056,651,Dehradun,Ranchi,Hotel Blues Shivalik,3,Executive,5062,1,2,1,5062,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,20248,11-11-2019,07-11-2019
67061,651,Dhubri,Chennai,The Leela Palace Chennai,5,Suite,14838,3,1,2,29676,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",6,178056,19-12-2019,13-12-2019
67070,651,Delhi NCR,Puducherry,The Promenade,4,Executive,6887,2,1,2,13774,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna', 'Rooftop Lounge']",2,27548,15-02-2020,13-02-2020
67071,651,Indore,Shillong,Hotel Broadway,2,Executive,3077,1,2,1,3077,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,18462,26-02-2020,20-02-2020
67072,651,Patna,Amritsar,Golden Tulip Amritsar,4,Deluxe,7106,2,1,2,14212,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",6,85272,04-03-2020,27-02-2020
67078,651,Ludhiana,Jamshedpur,Hotel Alcor,3,Suite,5814,1,0,1,5814,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,17442,12-05-2020,09-05-2020
67080,651,Amritsar,Mysuru,Fortune JP Palace,4,Deluxe,7038,1,2,1,7038,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",1,7038,24-04-2020,23-04-2020
67084,651,Bilaspur,Mumbai,Hotel Marine Plaza,4,Deluxe,6066,1,0,1,6066,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",3,18198,24-05-2020,21-05-2020
67087,651,Thiruvananthapuram,Khowai,Hotel City Centre,3,Deluxe,4952,4,2,3,14856,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",4,59424,15-06-2020,11-06-2020
67091,651,Kullu-Manali,Guwahati,Kiranshree Grand,4,Executive,7627,2,3,2,15254,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",4,61016,13-07-2020,09-07-2020
67093,651,Patna,Dhubri,The Brahmaputra Hotel,3,Executive,3956,4,1,3,11868,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,83076,30-07-2020,23-07-2020
67097,651,Visakhapatnam,Kota,Hotel Vandana,3,Executive,4814,3,3,3,14442,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",7,101094,27-08-2020,20-08-2020
67103,651,Dabolim,Ludhiana,Hyatt Regency Ludhiana,5,Suite,12105,1,2,1,12105,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",2,24210,03-10-2020,01-10-2020
67106,651,Bhubaneswar,Shillong,Hotel Eee Cee,2,Suite,3394,3,3,3,10182,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",3,30546,25-10-2020,22-10-2020
67109,651,Raipur,Thiruvananthapuram,Hilton Garden Inn Trivandrum,5,Suite,15364,3,2,3,46092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",6,276552,18-11-2020,12-11-2020
67111,651,Shillong,Raipur,Hotel Babylon International,4,Executive,6950,2,0,1,6950,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",4,27800,30-11-2020,26-11-2020
67121,651,Guwahati,Srinagar,Hotel Grand Boulevard,3,Suite,6968,4,1,3,20904,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",7,146328,11-02-2021,04-02-2021
67123,651,Gwalior,Jaipur,Radisson Blu Jaipur,5,Deluxe,11748,4,0,2,23496,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service']",1,23496,19-02-2021,18-02-2021
67124,651,Ranchi,Gangtok,"Lemon Tree Hotel, Gangtok",3,Executive,5578,2,0,1,5578,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,22312,01-03-2021,25-02-2021
67125,651,Nashik,Jamshedpur,Hotel Siddhartha,3,Deluxe,4997,2,2,2,9994,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",1,9994,05-03-2021,04-03-2021
67129,651,Tirupati,Amritsar,Hyatt Regency Amritsar,5,Executive,12444,1,0,1,12444,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service']",4,49776,05-04-2021,01-04-2021
67130,651,Kullu-Manali,Prayagraj,Hotel Harsh Ananda,4,Suite,8823,2,1,2,17646,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",4,70584,12-04-2021,08-04-2021
67134,651,Pune,Indore,Lemon Tree Hotel Indore,4,Deluxe,5838,1,0,1,5838,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge', 'Business Center']",7,40866,13-06-2021,06-06-2021
67155,651,Udaipur,Delhi NCR,Radisson Blu Plaza Delhi Airport,5,Suite,15288,4,2,3,45864,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,45864,01-10-2021,30-09-2021
67156,651,Thiruvananthapuram,Imphal,Hotel Imphal,3,Executive,4783,4,3,4,19132,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",7,133924,14-10-2021,07-10-2021
67157,651,Mysuru,Itanagar,Hotel Pybss,3,Deluxe,4237,3,3,3,12711,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",7,88977,21-10-2021,14-10-2021
67160,651,Chennai,Chandigarh,The Lalit Chandigarh,5,Suite,16008,1,1,1,16008,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",6,96048,10-12-2021,04-12-2021
67161,651,Indore,Navi Mumbai,Ibis Navi Mumbai,3,Executive,5082,1,2,1,5082,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",1,5082,12-12-2021,11-12-2021
67163,651,Mysuru,Itanagar,Cygnett Inn Trendz,3,Deluxe,5446,2,1,2,10892,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",1,10892,26-11-2021,25-11-2021
67167,651,Gwalior,Itanagar,Hotel Su Pinsa,3,Executive,4146,2,3,2,8292,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",2,16584,25-12-2021,23-12-2021
67178,651,Jamshedpur,Diu,Krishna Beach Resorts,3,Suite,5700,2,1,2,11400,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",3,34200,13-03-2022,10-03-2022
67184,651,Kolkata,Gangtok,Mayfair Spa Resort & Casino,5,Deluxe,10056,4,3,4,40224,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad', 'Private Butler']",6,241344,27-04-2022,21-04-2022
67188,651,Delhi NCR,Amritsar,Radisson Blu Hotel Amritsar,5,Executive,10907,3,0,2,21814,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,21814,20-05-2022,19-05-2022
67190,651,Jamshedpur,Vijayawada,"Lemon Tree Premier, Vijayawada",4,Deluxe,5640,2,3,2,11280,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,33840,05-06-2022,02-06-2022
67193,651,Dabolim,Ahmedabad,Fortune Landmark,4,Executive,6690,2,0,1,6690,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",6,40140,29-06-2022,23-06-2022
67197,651,Indore,Jaipur,Hotel Royal Orchid Jaipur,4,Deluxe,5896,4,3,4,23584,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,47168,23-07-2022,21-07-2022
67198,651,Ayodhya,Prayagraj,Hotel Crown Palace,3,Deluxe,4620,1,1,1,4620,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,18480,01-08-2022,28-07-2022
67207,651,Delhi NCR,Kolkata,Pride Plaza Hotel Kolkata,5,Executive,10759,4,2,3,32277,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",6,193662,05-10-2022,29-09-2022
67208,651,Khowai,Hyderabad,Taj Falaknuma Palace,5,Executive,12484,4,0,2,24968,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service', 'Helipad']",2,49936,08-10-2022,06-10-2022
67227,651,Chennai,Vadodara,Sayaji Hotel Vadodara,4,Executive,9092,3,0,2,18184,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,36368,18-02-2023,16-02-2023
67231,651,Udaipur,Hisar,Hotel Crown,2,Executive,2768,3,2,3,8304,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,58128,23-03-2023,16-03-2023
67232,651,Kullu-Manali,Dabolim,Hotel Annapurna,2,Suite,3040,3,2,3,9120,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",3,27360,26-03-2023,23-03-2023
67233,651,Amritsar,Mumbai,The St. Regis Mumbai,5,Executive,13328,2,0,1,13328,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,13328,31-03-2023,30-03-2023
67239,652,Bhopal,Kota,Hotel Park Horizon,3,Deluxe,4564,1,0,1,4564,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",3,13692,29-09-2019,26-09-2019
67240,652,Guwahati,Chennai,Hyatt Regency Chennai,5,Deluxe,10488,3,2,3,31464,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",7,220248,10-10-2019,03-10-2019
67241,652,Dhubri,Visakhapatnam,Best Western Ramachandra,3,Deluxe,5035,2,2,2,10070,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",7,70490,17-10-2019,10-10-2019
67244,652,Surat,Bengaluru,Shivas Galaxy Hotel,3,Deluxe,4618,3,0,2,9236,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",5,46180,05-11-2019,31-10-2019
67245,652,Puri,Coimbatore,Fairfield by Marriott Coimbatore,4,Deluxe,7032,1,1,1,7032,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,42192,13-11-2019,07-11-2019
67246,652,Ahmedabad,Puri,The Chariot Resort & Spa,4,Suite,7797,2,0,1,7797,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",6,46782,20-11-2019,14-11-2019
